,0,1
0, orange juice, milk
1,apple,milk
2, a mile," 100 , 000 miles"
3, ##s me, i
4, niece, gi ##raf ##fe
5,normal,in
6,chocolate,bike
7, her friend, horse
8, put elephant into, pour water in to
9,girl,dog
10, eat ki ##s, kids find
11, a notebook, water
12, police station, bank
13,owner,employee
14, bang ##les, hat
15, snow ##ball, house
16, the eats the rose bud, roses buds eat ##s
17,testament,usa
18, doctor fixed, technician will fix
19, b ##lea ##ch, water
20,head,feet
21, car, nuclear reactor
22,chair,dog
23,barked,roared
24, carpet, tall grass
25,bike,car
26, an elephant, myself
27,fish,football
28,car,boat
29, vet ##erina ##rian, pool
30,moon,store
31,shut,##s
32,couch,garden
33, gas stove, laptop
34,stars,me
35,door,light
36, very long window, book about
37, at park, in mouth of a griffin
38,water,petrol
39, juice bottle into, chair inside
40,tiger,book
41,radio,mobile
42,moon,playground
43, drove to, parachute ##d into from a plane
44,desert,ocean
45, man, dead ice creature
46, under tap, in swimming pool
47,tomatoes,mountains
48,zoo,purse
49, a clock, book
50,ball,rock
51,dog,moth
52, podcast ##s, colours
53,air,ground
54, blonde dragon, an elephant in africa
55,book,apple
56, jake artificial, jack
57,toys,dictionary
58,summer,fall
59,cried,melted
60, commercials, barbecue ##s
61,car,bed
62,sometimes,never
63, jelly ##fish, check ##book holder
64,lawyers,actors
65, gi ##raf ##fe, man .
66,kitten,puppy
67,parrot,man
68, kitchen sink, shower
69, knife, programming language
70, with them, they their at
71, usually nasty, nice
72,##er,costume
73, in bed, on volcano
74,ghost,man
75, never see teacher inside of, find teachers in
76, knife, an advertising board
77, the sun, a house .
78, mu ##ffin ##s, buildings
79,chicken,bird
80,cow,harp
81, your stops then classed as dead, still alive do not have a
82,him,##ine
83, is a school ., trains dragons
84, bus, lunch box
85, turns about once a month, gets fixed and that ' s how it returns to
86,cash,water
87,dinner,music
88,paper,water
89,unlimited,storage
90, only angry, sad
91, coffee dough ##nut, hamburger pudding
92,stone,pillow
93,drum,foot
94,teeth,beard
95, star, corn ##dog
96, shoes walk, g ##hill ##ie suits go
97,music,fridge
98, can, is not allowed to their
99,comfortable,discomfort
100, low hazardous," great lower ,"
101, computers, car ##bo ##hy ##dra ##tes
102, non - ve ##g food, electronic goods .
103,france,europe
104, london, the moon
105, the babies the their parents met," when a baby born , that called its '"
106,sheep,lady
107, can not get from, drinking gets
108, gun, fire hydra ##nt
109,snow,trees
110,him,building
111,growing,singing
112,fridge,knife
113,barn,sky
114, no one uses to, people
115, a bath ##tub, ocean
116, would never, is likely to throw
117, sulfur ##ic acid, water
118,tires,tea
119, remote, screw ##drive ##r
120, whale, gi ##raf ##fe
121,, new
122, freeze ##r, closet
123,people,planes
124,bread,hands
125,, out
126,candle,rock
127, flew on, delivered
128,instrument,surgery
129,truck,brush
130,man,house
131, a whale ., an orange
132, ate the wizard in her, wrote a about wizards
133,bus,laptop
134,burger,book
135, table melt ##s, ice melted
136, mars, the store
137, raised tam ##bour ##ine, lifted tractor
138,mountain,tree
139,lava,lake
140,card,horse
141,pencil,spoon
142,brick,banana
143,me,swords
144,drives,flies
145, phone, car keys
146, vegetables, a globe
147, restaurant, beauty par ##lou ##r
148,hit,played
149,30,24
150,liquid,gas
151, myself, a lion
152, an an ##vil, ball
153, boiled eggs, cooked ice cream
154, a crane, barbecue
155,spoon,floor
156,landscape,portrait
157, rubbed on, ate off of
158,microwave,lighter
159,water,road
160, interviews ., eats
161,tractor,chair
162, by the stove, phone
163,day,night
164,elephant,book
165,book,sky
166, denmark, liege ##np ##oof ##a
167, will never, something can is
168,food,cords
169, reading stories, doing the laundry
170, tub, blend ##er
171,silver,cheese
172, fork, knife
173,horse,chicken
174, bed, pool water
175, froze, is boiling
176, spider ., horse
177, on her xbox, netball with
178,bag,purse
179, laptop, a battle tank .
180, shoes, pills .
181, hat, tea ##pot
182, you will never find a that likes to eat, ' s love eating
183,door,him
